match_id,year,stage,stage_numeric,is_knockout,date,venue,team,opponent,is_home,team_confederation,opp_confederation,same_confederation,is_host,opp_is_host,neutral_venue,team_elo,opp_elo,elo_diff,elo_win_prob,form_5,opp_form_5,form_diff,goals_scored_form5,goals_conceded_form5,opp_goals_scored_form5,wc_appearances,opp_wc_appearances,wc_wins,opp_wc_wins,wc_finals,opp_wc_finals,wc_semis,opp_wc_semis,wc_avg_goals,h2h_winrate,h2h_matches,rest_days,opp_rest_days,rest_days_adv,tournament_match_num,tourn_matches_played,tourn_goals_for,tourn_goals_against,tourn_goal_diff,tourn_wins,tourn_winrate,tourn_goals_per_match,tourn_shots,tourn_xg,shots,shots_on_target,shot_accuracy,possession,fouls,yellow_cards,red_cards,offsides,corners,xg,opp_xg,xg_diff,sb_squad_size,sb_yellow_cards,sb_red_cards,goals_scored,goals_conceded,goal_diff,result,result_code,win_condition,goals_scored_et,half_time_goals,half_time_available,attendance,team_conf_code,opp_conf_code,squad_xg_per_match,squad_goals_per_match,squad_shots_per_match,squad_key_passes_per_match,squad_interceptions_per_match,squad_dribbles_per_match,squad_squad_pass_accuracy,squad_squad_players_used,opp_squad_xg_per_match,opp_squad_goals_per_match,opp_squad_shots_per_match,opp_squad_key_passes_per_match,opp_squad_interceptions_per_match,opp_squad_dribbles_per_match,opp_squad_squad_pass_accuracy,opp_squad_squad_players_used,squad_avg_age,opp_squad_avg_age,avg_club_prestige,max_club_prestige,opp_avg_club_prestige,opp_max_club_prestige,club_prestige_diff,age_diff,split,data_tier
6,1930,Group Stage,1,0,1930-07-16,Parque Central,Chile,Mexico,1,CONMEBOL,CONCACAF,0,0,0,1,1375.27,1453.84,-78.56999999999994,0.3888,0.5,0.5,0.0,2.6,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,3.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,3,0,3,Win,2,Full Time,,1.0,1.0,9249.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
6,1930,Group Stage,1,0,1930-07-16,Parque Central,Mexico,Chile,0,CONCACAF,CONMEBOL,0,0,0,1,1453.84,1375.27,78.56999999999994,0.6112,0.5,0.5,0.0,1.8,2.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,4.0,-1.0,6,1.0,1.0,4.0,-3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,3,-3,Loss,0,Full Time,,0.0,1.0,9249.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
7,1930,Group Stage,1,0,1930-07-17,Parque Central,Yugoslavia,Bolivia,1,UEFA,CONMEBOL,0,0,0,1,1791.56,1709.89,81.66999999999985,0.6154,0.5,0.0,0.5,2.8,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,4.0,-1.0,7,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,4,0,4,Win,2,Full Time,,0.0,1.0,18306.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
7,1930,Group Stage,1,0,1930-07-17,Parque Central,Bolivia,Yugoslavia,0,CONMEBOL,UEFA,0,0,0,1,1709.89,1791.56,-81.66999999999985,0.3846,0.0,0.5,-0.5,0.4,6.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,3.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,4,-4,Loss,0,Full Time,,0.0,1.0,18306.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
8,1930,Group Stage,1,0,1930-07-17,Parque Central,USA,Paraguay,1,CONCACAF,CONMEBOL,0,0,0,1,1500.0,1865.19,-365.19000000000005,0.1089,0.5,0.5,0.0,1.5,1.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,8,1.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,0.0,,,3,0,3,Win,2,Full Time,,2.0,1.0,18306.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
8,1930,Group Stage,1,0,1930-07-17,Parque Central,Paraguay,USA,0,CONMEBOL,CONCACAF,0,0,0,1,1865.19,1500.0,365.19000000000005,0.8911,0.5,0.5,0.0,1.8,2.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,3,-3,Loss,0,Full Time,,0.0,1.0,18306.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
9,1930,Group Stage,1,0,1930-07-18,Estadio Centenario,Uruguay,Peru,1,CONMEBOL,CONMEBOL,1,1,0,0,1654.94,1416.13,238.81,0.7981,0.5,0.2,0.3,1.2,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,0,1,Win,2,Full Time,,0.0,1.0,57735.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
9,1930,Group Stage,1,0,1930-07-18,Estadio Centenario,Peru,Uruguay,0,CONMEBOL,CONMEBOL,1,0,1,0,1416.13,1654.94,-238.81,0.2019,0.2,0.5,-0.3,1.0,3.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,9,1.0,1.0,3.0,-2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,1,-1,Loss,0,Full Time,,0.0,1.0,57735.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
10,1930,Group Stage,1,0,1930-07-19,Estadio Centenario,Chile,France,1,CONMEBOL,UEFA,0,0,0,1,1411.94,1424.16,-12.220000000000027,0.4824,0.5,0.4,0.1,2.8,2.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,3.0,4.0,-1.0,10,1.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,0,1,Win,2,Full Time,,0.0,1.0,2000.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
10,1930,Group Stage,1,0,1930-07-19,Estadio Centenario,France,Chile,0,UEFA,CONMEBOL,0,0,0,1,1424.16,1411.94,12.220000000000027,0.5176,0.4,0.5,-0.1,1.8,2.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,3.0,1.0,10,2.0,4.0,2.0,2.0,1.0,0.5,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,1,-1,Loss,0,Full Time,,0.0,1.0,2000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
