fixture_id,date,stage,city,country,home_team,away_team,result_available,home_host_nation,home_current_elo,home_form_10,home_goals_scored_form10,home_goals_conceded_form10,home_last_5_pts,home_intl_matches_available,home_wc_appearances,home_wc_wins,home_wc_finals,home_wc_semis,home_last_wc_year,home_squad_avg_age_2026,home_avg_club_prestige,home_max_club_prestige,home_players_with_recent_data,home_squad_xg_p90,home_squad_goals_p90,home_squad_key_passes_p90,home_squad_interceptions_p90,home_squad_pass_accuracy,home_squad_prog_carries_p90,away_host_nation,away_current_elo,away_form_10,away_goals_scored_form10,away_goals_conceded_form10,away_last_5_pts,away_intl_matches_available,away_wc_appearances,away_wc_wins,away_wc_finals,away_wc_semis,away_last_wc_year,away_squad_avg_age_2026,away_avg_club_prestige,away_max_club_prestige,away_players_with_recent_data,away_squad_xg_p90,away_squad_goals_p90,away_squad_key_passes_p90,away_squad_interceptions_p90,away_squad_pass_accuracy,away_squad_prog_carries_p90,elo_diff,home_elo_win_prob,form_diff,home_score,away_score
14,2026-06-15,Group Stage,Inglewood,United States,Iran,New Zealand,0,0,1837.16,0.5919,1.7,0.8,8,10,6,0,0,0,2022,32.6,5.0,5.0,0,,,,,,,0,1708.68,0.2634,0.9,1.5,4,10,2,0,0,0,2010,,5.0,5.0,0,,,,,,,128.48000000000002,0.6769,0.3285,,
15,2026-06-15,Group Stage,Atlanta,United States,Spain,Cape Verde,0,0,2100.01,0.828,3.1,0.8,11,10,16,1,1,2,2022,30.0,7.595,10.0,25,0.0964,0.1278,0.9858,0.4381,0.8786,7.5396,0,1650.41,0.6297,1.7,1.0,6,10,0,0,0,0,0,,5.0,5.0,21,0.1289,0.1082,0.5528,0.5889,0.8096,4.4345,449.60000000000014,0.9301,0.1983,,
16,2026-06-15,Group Stage,Miami Gardens,United States,Saudi Arabia,Uruguay,0,0,1690.33,0.3152,1.0,1.5,3,10,6,0,0,0,2022,31.6,5.0,5.0,0,,,,,,,0,1871.66,0.5735,1.0,0.9,6,10,14,2,2,5,2022,32.1,5.711,10.0,21,0.1615,0.2058,0.6716,0.5741,0.7835,5.5675,-181.33000000000015,0.2604,-0.2583,,
17,2026-06-16,Group Stage,Santa Clara,United States,Austria,Jordan,0,0,1817.17,0.8534,2.7,0.4,13,10,7,0,0,2,1998,,5.0,5.0,19,0.1017,0.0998,0.6484,0.7482,0.8138,6.0521,0,1730.53,0.5438,1.9,1.6,5,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,86.6400000000001,0.6222,0.3096,,
18,2026-06-16,Group Stage,Kansas City,United States,Argentina,Algeria,0,0,2040.35,0.8726,2.5,0.4,15,10,18,3,6,6,2022,31.3,5.646,9.5,24,0.1616,0.131,0.675,0.5138,0.8618,5.8133,0,1808.9,0.7622,2.3,0.5,10,10,4,0,0,0,2014,,5.0,5.0,20,0.0839,0.0649,0.6918,0.4972,0.8408,6.5506,231.44999999999982,0.7912,0.1104,,
19,2026-06-16,Group Stage,East Rutherford,United States,France,Senegal,0,0,2034.02,0.8902,2.7,1.1,13,10,16,2,4,7,2022,30.2,7.208,10.0,18,0.1366,0.079,0.9363,0.5415,0.8775,7.3101,0,1853.95,0.7015,1.9,0.9,9,10,3,0,0,0,2022,30.2,5.4,9.0,22,0.1416,0.2016,0.5273,0.5738,0.8047,4.6528,180.06999999999994,0.7382,0.1887,,
20,2026-06-16,Group Stage,Foxborough,United States,Iraq,Norway,0,0,1752.87,0.6939,1.1,0.7,9,10,1,0,0,0,1986,,5.0,5.0,0,,,,,,,0,1885.18,0.7612,3.1,0.7,10,10,3,0,0,0,1998,,5.0,5.0,0,,,,,,,-132.31000000000017,0.3183,-0.0673,,
21,2026-06-17,Group Stage,Houston,United States,Portugal,DR Congo,0,0,1927.13,0.7356,2.6,1.0,8,10,8,0,0,2,2022,30.5,6.062,9.5,24,0.1768,0.1082,0.7452,0.4207,0.8788,8.7981,0,1740.46,0.7845,1.2,0.3,10,10,0,0,0,0,0,,5.0,5.0,23,0.2155,0.1712,0.5856,0.4054,0.7917,5.433,186.67000000000007,0.7455,-0.0489,,
22,2026-06-17,Group Stage,Mexico City,Mexico,Uzbekistan,Colombia,0,0,1807.77,0.5597,1.3,0.7,6,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,0,1923.91,0.6624,2.4,1.1,9,10,6,0,0,0,2018,,5.0,5.0,24,0.0971,0.1246,0.6124,0.4463,0.8257,4.1621,-116.1400000000001,0.3388,-0.1027,,
23,2026-06-17,Group Stage,Arlington,United States,England,Croatia,0,0,1991.02,0.7113,2.2,0.5,10,10,16,1,1,3,2022,30.7,7.775,9.5,21,0.095,0.1177,0.48,0.3441,0.8686,5.9046,0,1905.19,0.8011,2.9,0.8,12,10,6,0,1,3,2022,31.7,5.643,10.0,20,0.1259,0.0432,0.6702,0.7134,0.8716,6.1614,85.82999999999993,0.6211,-0.0898,,
