fixture_id,date,stage,city,country,home_team,away_team,result_available,home_host_nation,home_current_elo,home_form_10,home_goals_scored_form10,home_goals_conceded_form10,home_last_5_pts,home_intl_matches_available,home_wc_appearances,home_wc_wins,home_wc_finals,home_wc_semis,home_last_wc_year,home_squad_avg_age_2026,home_avg_club_prestige,home_max_club_prestige,home_players_with_recent_data,home_squad_xg_p90,home_squad_goals_p90,home_squad_key_passes_p90,home_squad_interceptions_p90,home_squad_pass_accuracy,home_squad_prog_carries_p90,away_host_nation,away_current_elo,away_form_10,away_goals_scored_form10,away_goals_conceded_form10,away_last_5_pts,away_intl_matches_available,away_wc_appearances,away_wc_wins,away_wc_finals,away_wc_semis,away_last_wc_year,away_squad_avg_age_2026,away_avg_club_prestige,away_max_club_prestige,away_players_with_recent_data,away_squad_xg_p90,away_squad_goals_p90,away_squad_key_passes_p90,away_squad_interceptions_p90,away_squad_pass_accuracy,away_squad_prog_carries_p90,elo_diff,home_elo_win_prob,form_diff,home_score,away_score
57,2026-06-25,Group Stage,Philadelphia,United States,Curaçao,Ivory Coast,0,0,1585.94,0.3901,1.6,1.6,4,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,0,1752.32,0.7642,2.0,0.7,12,10,0,0,0,0,0,,5.0,5.0,24,0.0999,0.1127,0.6071,0.4337,0.8201,5.2992,-166.37999999999988,0.2773,-0.3741,,
58,2026-06-25,Group Stage,East Rutherford,United States,Ecuador,Germany,0,0,1942.9,0.6694,0.9,0.5,9,10,4,0,0,0,2022,28.7,5.0,5.0,18,0.128,0.0968,0.4358,0.5004,0.7372,3.3734,0,1946.73,0.8744,2.6,0.9,15,10,10,1,2,5,2022,31.0,7.25,10.0,23,0.1068,0.1347,0.9429,0.4531,0.8839,6.8816,-3.8299999999999272,0.4945,-0.205,,
59,2026-06-25,Group Stage,Arlington,United States,Japan,Sweden,0,0,1929.99,0.8527,1.9,0.6,15,10,7,0,0,0,2022,31.3,5.182,9.0,0,,,,,,,0,1729.32,0.411,1.5,2.1,7,10,12,0,1,4,2018,,5.0,5.0,0,,,,,,,200.67000000000007,0.7605,0.4417,,
60,2026-06-25,Group Stage,Kansas City,United States,Tunisia,Netherlands,0,0,1691.38,0.4879,1.3,1.0,6,10,6,0,0,0,2022,31.2,5.0,5.0,19,0.0539,0.0223,0.4684,0.4907,0.7785,4.5502,0,1938.39,0.8306,3.0,0.6,11,10,11,0,3,5,2022,30.4,6.071,9.5,19,0.0841,0.1034,0.7582,0.6089,0.8604,5.3421,-247.01,0.1944,-0.3427,,
61,2026-06-26,Group Stage,Toronto,Canada,Senegal,Iraq,0,0,1853.95,0.7015,1.9,0.9,9,10,3,0,0,0,2022,30.2,5.4,9.0,22,0.1416,0.2016,0.5273,0.5738,0.8047,4.6528,0,1752.87,0.6939,1.1,0.7,9,10,1,0,0,0,1986,,5.0,5.0,0,,,,,,,101.08000000000015,0.6415,0.0076,,
62,2026-06-26,Group Stage,Foxborough,United States,Norway,France,0,0,1885.18,0.7612,3.1,0.7,10,10,3,0,0,0,1998,,5.0,5.0,0,,,,,,,0,2034.02,0.8902,2.7,1.1,13,10,16,2,4,7,2022,30.2,7.208,10.0,18,0.1366,0.079,0.9363,0.5415,0.8775,7.3101,-148.83999999999992,0.298,-0.129,,
63,2026-06-26,Group Stage,Zapopan,Mexico,Uruguay,Spain,0,0,1871.66,0.5735,1.0,0.9,6,10,14,2,2,5,2022,32.1,5.711,10.0,21,0.1615,0.2058,0.6716,0.5741,0.7835,5.5675,0,2100.01,0.828,3.1,0.8,11,10,16,1,1,2,2022,30.0,7.595,10.0,25,0.0964,0.1278,0.9858,0.4381,0.8786,7.5396,-228.35000000000014,0.2117,-0.2545,,
64,2026-06-26,Group Stage,Vancouver,Canada,New Zealand,Belgium,0,0,1708.68,0.2634,0.9,1.5,4,10,2,0,0,0,2010,,5.0,5.0,0,,,,,,,0,1861.09,0.7922,3.5,1.0,11,10,14,0,0,2,2022,32.3,5.725,10.0,18,0.0766,0.0349,0.6274,0.3311,0.851,6.1522,-152.40999999999985,0.2937,-0.5288,,
65,2026-06-26,Group Stage,Seattle,United States,Egypt,Iran,0,0,1777.03,0.7375,1.4,0.5,8,10,3,0,0,0,2018,,5.0,5.0,22,0.2379,0.2356,0.8441,0.5889,0.8447,5.6925,0,1837.16,0.5919,1.7,0.8,8,10,6,0,0,0,2022,32.6,5.0,5.0,0,,,,,,,-60.13000000000011,0.4143,0.1456,,
66,2026-06-26,Group Stage,Houston,United States,Cape Verde,Saudi Arabia,0,0,1650.41,0.6297,1.7,1.0,6,10,0,0,0,0,0,,5.0,5.0,21,0.1289,0.1082,0.5528,0.5889,0.8096,4.4345,0,1690.33,0.3152,1.0,1.5,3,10,6,0,0,0,2022,31.6,5.0,5.0,0,,,,,,,-39.919999999999845,0.4428,0.3145,,
67,2026-06-27,Group Stage,East Rutherford,United States,Panama,England,0,0,1775.96,0.5555,1.5,1.4,5,10,1,0,0,0,2018,,5.0,5.0,21,0.0547,0.1018,0.5429,0.509,0.8065,5.836,0,1991.02,0.7113,2.2,0.5,10,10,16,1,1,3,2022,30.7,7.775,9.5,21,0.095,0.1177,0.48,0.3441,0.8686,5.9046,-215.05999999999995,0.2248,-0.1558,,
68,2026-06-27,Group Stage,Kansas City,United States,Algeria,Austria,0,0,1808.9,0.7622,2.3,0.5,10,10,4,0,0,0,2014,,5.0,5.0,20,0.0839,0.0649,0.6918,0.4972,0.8408,6.5506,0,1817.17,0.8534,2.7,0.4,13,10,7,0,0,2,1998,,5.0,5.0,19,0.1017,0.0998,0.6484,0.7482,0.8138,6.0521,-8.269999999999982,0.4881,-0.0912,,
69,2026-06-27,Group Stage,Arlington,United States,Jordan,Argentina,0,0,1730.53,0.5438,1.9,1.6,5,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,0,2040.35,0.8726,2.5,0.4,15,10,18,3,6,6,2022,31.3,5.646,9.5,24,0.1616,0.131,0.675,0.5138,0.8618,5.8133,-309.81999999999994,0.1439,-0.3288,,
70,2026-06-27,Group Stage,Miami Gardens,United States,Colombia,Portugal,0,0,1923.91,0.6624,2.4,1.1,9,10,6,0,0,0,2018,,5.0,5.0,24,0.0971,0.1246,0.6124,0.4463,0.8257,4.1621,0,1927.13,0.7356,2.6,1.0,8,10,8,0,0,2,2022,30.5,6.062,9.5,24,0.1768,0.1082,0.7452,0.4207,0.8788,8.7981,-3.2200000000000273,0.4954,-0.0732,,
71,2026-06-27,Group Stage,Atlanta,United States,DR Congo,Uzbekistan,0,0,1740.46,0.7845,1.2,0.3,10,10,0,0,0,0,0,,5.0,5.0,23,0.2155,0.1712,0.5856,0.4054,0.7917,5.433,0,1807.77,0.5597,1.3,0.7,6,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,-67.30999999999995,0.4043,0.2248,,
72,2026-06-27,Group Stage,Philadelphia,United States,Croatia,Ghana,0,0,1905.19,0.8011,2.9,0.8,12,10,6,0,1,3,2022,31.7,5.643,10.0,20,0.1259,0.0432,0.6702,0.7134,0.8716,6.1614,0,1596.46,0.3382,1.4,1.3,0,10,4,0,0,0,2022,29.4,5.2,9.0,19,0.1103,0.1009,0.4707,0.8741,0.7588,4.0007,308.73,0.8553,0.4629,,
