fixture_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage,result_available
63,2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True,Group Stage,0
64,2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True,Group Stage,0
65,2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True,Group Stage,0
66,2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True,Group Stage,0
67,2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True,Group Stage,0
68,2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True,Group Stage,0
69,2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True,Group Stage,0
70,2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True,Group Stage,0
71,2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True,Group Stage,0
72,2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True,Group Stage,0
